http://www.google.com, Google
http://www.polycom.com, 
        Video Conferencing & Collaboration Software | Polycom - VoIP Phone, Video Conference & Telepresence Technology
   
   
http://www.nokia.com, Nokia Corporation
http://mininet.org, Mininet: An Instant Virtual Network on your Laptop (or other PC) - Mininet
http://www.cisco.com/, Cisco - Global Home Page
http://www.qualcomm.com, Wireless Technology & Innovation | Mobile Technology | Qualcomm
http://www.geeksforgeeks.org, GeeksforGeeks | A computer science portal for geeks
http://www.colorado.edu/itp, Interdisciplinary Telecom Program | University of Colorado Boulder | University of Colorado Boulder
http://stackoverflow.com, Stack Overflow - Where Developers Learn, Share, & Build Careers
http://www.apple.com/, Apple
http://www.walmart.com/, Walmart.com | Save Money. Live Better.
http://www.indeed.com, Job Search | Indeed
http://www.netflix.com, Netflix - Watch TV Shows Online, Watch Movies Online
http://www.oneplus.com/, Never Settle - OnePlus (United States)
http://www.linkedin.com, LinkedIn: Log In or Sign Up
 
http://www.twitter.com, Twitter. It's what's happening.
http://github.com, The world’s leading software development platform · GitHub
http://www.lynda.com, Lynda: Online Courses, Classes, Training, Tutorials
http://www.coursera.org, Coursera | Online Courses & Credentials by Top Educators. Join for Free
http://www.bits-pilani.ac.in, 
        Birla Institute of Technology and Science, Pilani (BITS Pilani)
